일자,평균
2019년 3월 12일,73652
2019년 3월 13일,110577
2019년 3월 14일,110366
2019년 3월 15일,113513
2019년 3월 16일,111347
2019년 3월 17일,95575
2019년 3월 18일,107201
2019년 3월 19일,109022
2019년 3월 1일,96679
2019년 3월 20일,106809
2019년 3월 21일,107476
2019년 3월 22일,113987
2019년 3월 23일,107315
2019년 3월 24일,92769
2019년 3월 25일,107174
2019년 3월 26일,106446
2019년 3월 27일,107373
2019년 3월 28일,106823
2019년 3월 29일,113216
2019년 3월 2일,101819
2019년 3월 30일,106997
2019년 3월 31일,91263
2019년 3월 3일,90016
2019년 3월 4일,106321
2019년 3월 5일,105468
2019년 3월 6일,107846
2019년 3월 7일,107660
2019년 3월 8일,116806
2019년 3월 9일,111281
2019년 4월 10일,104700
2019년 4월 11일,107509
2019년 4월 12일,112609
2019년 4월 13일,109618
2019년 4월 14일,68313
2019년 4월 15일,105028
2019년 4월 16일,104831
2019년 4월 17일,108978
2019년 4월 18일,108139
2019년 4월 19일,111203
2019년 4월 1일,80167
2019년 4월 20일,110456
2019년 4월 21일,92062
2019년 4월 22일,92833
2019년 4월 23일,103151
2019년 4월 24일,106345
2019년 4월 25일,104982
2019년 4월 26일,111240
2019년 4월 27일,108361
2019년 4월 28일,91574
2019년 4월 29일,103759
2019년 4월 2일,104917
2019년 4월 30일,108773
2019년 4월 3일,109363
2019년 4월 4일,109323
2019년 4월 5일,112150
2019년 4월 6일,108818
2019년 4월 7일,93093
2019년 4월 8일,106832
2019년 4월 9일,102974
2019년 5월 10일,113551
2019년 5월 11일,110252
2019년 5월 12일,94230
2019년 5월 13일,105566
2019년 5월 14일,107183
2019년 5월 15일,110027
2019년 5월 16일,108804
2019년 5월 17일,113390
2019년 5월 18일,106565
2019년 5월 19일,91547
2019년 5월 1일,104244
2019년 5월 20일,105806
2019년 5월 21일,107587
2019년 5월 22일,109161
2019년 5월 23일,109081
2019년 5월 24일,106704
2019년 5월 25일,102163
2019년 5월 26일,92111
2019년 5월 27일,99660
2019년 5월 28일,105806
2019년 5월 29일,109451
2019년 5월 2일,109440
2019년 5월 30일,106730
2019년 5월 31일,112534
2019년 5월 3일,115617
2019년 5월 4일,109858
2019년 5월 5일,94477
2019년 5월 6일,96445
2019년 5월 7일,108910
2019년 5월 8일,112784
2019년 5월 9일,109781
2019년 6월 10일,104565
2019년 6월 11일,105371
2019년 6월 12일,108260
2019년 6월 13일,108025
2019년 6월 14일,111696
2019년 6월 15일,109556
2019년 6월 16일,89456
2019년 6월 17일,106107
2019년 6월 18일,100826
2019년 6월 19일,107680
2019년 6월 1일,108294
2019년 6월 20일,108197
2019년 6월 21일,113336
2019년 6월 22일,107689
2019년 6월 23일,90891
2019년 6월 24일,105330
2019년 6월 25일,105261
2019년 6월 26일,107399
2019년 6월 27일,105493
2019년 6월 28일,112259
2019년 6월 29일,103174
2019년 6월 2일,79892
2019년 6월 30일,88741
2019년 6월 3일,106230
2019년 6월 4일,105808
2019년 6월 5일,107459
2019년 6월 6일,89491
2019년 6월 7일,106084
2019년 6월 8일,105294
2019년 6월 9일,84479
2019년 7월 10일,103994
2019년 7월 11일,102516
2019년 7월 12일,110994
2019년 7월 13일,106223
2019년 7월 14일,76377
2019년 7월 15일,102776
2019년 7월 16일,100093
2019년 7월 17일,104914
2019년 7월 18일,103602
2019년 7월 19일,110232
2019년 7월 1일,97874
2019년 7월 20일,101152
2019년 7월 21일,85583
2019년 7월 22일,105629
2019년 7월 23일,89106
2019년 7월 24일,105242
2019년 7월 25일,101079
2019년 7월 26일,107767
2019년 7월 27일,102584
2019년 7월 28일,63683
2019년 7월 29일,87228
2019년 7월 2일,92176
2019년 7월 30일,103906
2019년 7월 31일,105508
2019년 7월 3일,106518
2019년 7월 4일,104655
2019년 7월 5일,112028
2019년 7월 6일,108313
2019년 7월 7일,90704
2019년 7월 8일,105050
2019년 7월 9일,102992
2019년 8월 10일,103164
2019년 8월 11일,61444
2019년 8월 12일,87088
2019년 8월 13일,98688
2019년 8월 14일,107125
2019년 8월 15일,91605
2019년 8월 16일,107488
2019년 8월 17일,100925
2019년 8월 18일,89489
