,PM2.5,PM10,교통량합계,평균기온,일강수량,평균풍속,TPM2.5,TPM10,BPM2.5,BPM10,JPM2.5,JPM10
831,14.0,22.0,111222.0,27.8,0.0,0.8,19,43,10,11,46,113
832,18.0,24.0,108874.0,25.7,0.0,1.3,17,42,15,26,17,53
833,4.0,11.0,83219.0,21.3,4.0,1.6,20,49,20,31,24,42
834,4.0,14.0,87124.0,23.2,0.0,1.2,28,32,22,23,25,44
835,10.0,16.0,82693.0,23.6,0.0,0.9,36,52,11,26,28,52
836,12.0,17.0,87005.0,25.5,0.0,1.0,36,60,27,53,31,66
837,7.0,12.0,105243.0,24.7,0.0,1.0,18,46,17,44,26,62
838,8.0,14.0,106441.0,23.4,0.0,1.2,26,69,29,60,40,103
839,10.0,29.0,106001.0,22.4,0.0,1.3,22,54,6,26,37,103
840,13.0,33.0,104510.0,20.5,0.0,0.9,16,49,24,61,21,81
841,11.0,24.0,108178.0,20.1,0.0,1.2,53,101,37,70,28,86
842,5.0,10.0,98384.0,18.2,43.5,1.3,78,101,58,78,49,121
843,1.0,5.0,76040.0,17.2,68.0,2.0,61,75,77,72,37,90
844,6.0,11.0,103363.0,18.3,0.0,0.8,64,95,29,40,29,80
845,14.0,24.0,105133.0,18.5,0.0,0.7,42,77,12,35,45,98
846,20.0,30.0,104868.0,19.0,0.0,0.6,22,56,23,53,44,94
847,12.0,17.0,104461.0,21.2,0.0,0.7,31,60,34,56,39,83
848,14.0,20.0,108934.0,23.0,0.0,0.7,51,63,51,57,39,87
849,32.0,33.0,102568.0,24.6,0.0,0.6,71,86,57,67,48,100
850,29.0,39.0,91185.0,23.6,0.0,0.6,56,109,59,76,46,94
851,32.0,41.0,104850.0,23.0,0.0,0.3,48,91,71,96,43,82
852,30.0,28.0,100796.0,22.5,0.0,0.1,46,72,51,79,33,63
853,5.0,9.0,100060.0,21.6,76.0,0.7,46,69,51,69,39,76
854,7.0,6.0,88344.0,22.7,13.0,1.2,54,88,56,82,38,85
855,17.0,20.0,105676.0,22.9,0.0,1.1,12,36,11,27,41,90
856,25.0,41.0,100530.0,19.4,0.0,1.6,12,26,6,16,12,29
857,4.0,11.0,88322.0,18.4,0.0,1.6,25,42,23,33,26,48
858,6.0,8.0,97702.0,15.7,13.0,0.7,43,52,38,52,43,61
859,11.0,21.0,104864.0,16.5,0.0,1.4,19,44,7,23,48,96
860,9.0,21.0,91469.0,13.6,0.0,0.5,39,72,31,55,60,107
861,18.0,38.0,102652.0,14.7,0.0,0.6,51,47,48,44,36,50
862,22.0,38.0,107918.0,17.8,0.0,0.6,27,62,42,57,42,67
863,14.0,25.0,105472.0,18.6,0.0,1.2,17,60,28,72,41,88
